¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r;
18;sf;852.4533611;617.4170478;20.282501;1.894170029;21.97114957;17.34268349;12.3064834;1.443844923;20.60236507;18.49132548;1.793725202;17.72198833;17.67914403;4.253802429;17.32259927;19.51568377;
19;sf;690.8864313;748.671062;20.24730546;1.717472411;23.97067184;16.02503907;13.51471296;1.442786473;21.99737663;17.02355259;-2.209143435;15.73963176;20.09038715;-0.90975316;-16.65011118;19.12537661;
20;sf;753.4864263;771.3984572;19.53255495;1.13122879;20.33608295;18.2834907;10.67787653;0.219676881;19.21070647;18.6294719;-6.103740931;17.44632864;16.66315464;-1.449263469;-17.11542092;18.87737313;
21;sf;829.3250877;20.46263158;18.03756879;-0.25841426;19.83757236;15.49793344;10.47929936;0.26899821;18.180189;16.3213826;1.110043365;16.37627167;15.06682021;1.253660157;-15.68868801;17.45966664;
22;sf;506.4665328;223.4682062;18.26802594;1.315157881;20.0954972;15.99616346;10.75719403;1.944910742;18.76577286;16.71937183;2.828415208;15.95834313;15.68453943;-9.79826571;15.87805689;17.65261258;
23;sf;364.7077962;152.9684469;21.52362404;-3.521877255;22.0326611;19.6868702;12.56458163;-1.019894069;21.47587506;20.28604247;-0.434327129;18.52882154;18.76423033;-2.555422771;18.57457491;20.7391646;
24;sf;1013.86418;772.5638842;18.41888558;-0.401805901;20.51457145;15.97670661;11.01475641;0.597450965;18.9797174;16.70352838;3.600888067;17.05238576;15.85461133;3.905566458;-16.34861243;17.70699012;
25;sf;983.6385016;676.3346008;20.36638866;2.269883913;23.27310385;16.66458012;11.21911595;0.878368276;21.51103933;17.2654076;0.17668333;17.74187381;15.78397299;2.010114459;16.89079201;19.72668448;
26;sf;953.2691547;209.8026576;19.83958889;-0.329070421;22.83359837;17.64319237;11.31819362;0.38594683;19.95906908;18.66344678;0.335039522;18.00421497;16.99272587;14.66530463;-17.59965018;19.43684686;
27;sf;237.8719262;95.75717213;18.03223278;3.338897577;18.31674403;15.83543171;11.14328138;1.173749247;17.86230577;17.4746412;1.935233444;16.02827325;15.70354038;0.782100359;-15.58877145;17.63069419;
28;sf;731.0522211;735.7948457;18.2608271;0.208055511;21.08394313;15.943857;9.591930176;-0.139417245;18.89937648;16.55783873;0.104554071;16.47602358;-15.9556677;-23.35764563;-15.63288873;17.63270981;
29;sf;480.0589147;767.9454979;21.87348201;-1.755403018;24.09560218;18.61924831;13.36667983;-1.516229971;22.35396127;20.05872338;-2.814074393;19.77109017;-17.7674767;-2.409268081;18.82278805;20.82724564;
30;sf;838.3839974;461.6717297;19.99668507;1.378576191;21.79150753;18.03590309;10.01928288;1.32262435;19.82847561;18.65225356;5.900565525;17.78177418;16.53695084;1.25965135;17.10641294;19.20425201;
31;sf;151.316722;625.5445736;20.18263131;0.798134036;22.15005501;17.542923;11.68195953;-0.9846524;20.46034918;18.8203811;1.280262974;16.79635484;-18.21453066;-1.879574231;17.48958738;19.53263339;
32;sf;31.03116147;468.9745042;20.41585091;-0.916518815;20.34820992;19.25275775;11.621479;-0.709664743;20.6524191;19.1415696;-2.976012722;18.27208776;-17.3116852;10.72381834;17.3920729;19.94408576;
33;sf;819.251043;371.1267444;19.96852477;1.586371958;21.9201779;17.54189493;10.5969;1.356322519;20.34520533;18.11303925;2.774715681;17.68583375;16.31706767;-3.048872486;-16.73961699;19.24996723;
34;sf;651.6343933;368.6959342;18.84376704;1.902138683;19.7668152;16.98191487;11.67964594;1.354738659;18.466932;18.16283944;3.05956119;-16.5733226;17.21387494;-6.1750506;16.63467479;18.30698576;
35;sf;690.7634795;712.8507069;15.91616142;-0.741892017;16.08875452;14.09440352;9.053597986;-0.05448012;15.67245386;13.95330637;-1.265121018;13.67831909;-12.89296217;0.508228265;-13.32180314;14.85950685;
36;sf;767.0390577;520.6908942;19.66544889;1.376320505;20.6337107;17.92376119;11.12619311;1.521278635;19.24198671;18.7702976;1.51863256;16.96607436;17.16682926;2.445404123;17.36208455;18.9854583;
37;sf;174.4406504;236.3523035;20.4994378;0.149532833;22.4638165;18.74403631;11.47392261;-0.419184602;20.33436615;19.0881573;-0.370882433;18.35783043;-17.24936975;1.884344977;17.63174726;19.81541266;
38;sf;535.1622575;54.01763668;21.46848656;-1.154039631;21.6611081;19.02786205;13.50808926;-0.0563108;20.78440105;20.02231096;-0.367190211;18.76779858;-18.22916059;23.21511696;-18.51645109;20.4382472;
39;sf;472.3916484;637.9377289;20.05731408;0.901659455;20.10617562;17.65986713;12.09774642;-0.143691836;20.45387755;17.9179007;1.266426849;17.79237812;16.18622665;9.607408218;16.97012125;19.2493051;
40;sf;605.0467933;366.7975502;20.10666817;0.181585807;20.94483804;17.65705263;12.84102974;-0.252682333;20.36733746;19.0327867;-0.87725345;18.25301612;-17.30853584;-5.461875836;17.58504365;19.65305175;
41;sf;65.35344585;635.7931083;20.08525874;1.064601427;21.55826202;17.29232089;11.75686751;1.898001431;20.35680868;18.53529517;2.001347238;17.91709032;16.28995419;15.58911742;17.07158204;19.35680868;
42;sf;1032.984348;815.1735365;21.01908418;2.065372021;25.44667271;15.45405338;14.99223924;1.109264146;23.82147741;16.17047709;2.700122516;21.1655885;15.11900557;-0.410666441;16.27642209;19.1978328;
43;sf;620.5033576;408.3034719;19.96097856;-0.476865565;20.93214852;18.45176185;10.94441046;-0.904699863;19.49609168;19.02819677;0.457890731;17.28138818;-17.2413196;1.226169131;17.12192109;19.22113369;
44;sf;548.7129094;231.3168816;19.44618652;1.085871496;20.53634768;17.28368275;11.80651308;1.545745011;19.81645785;17.9974557;1.836206739;17.30566488;16.67694263;-13.88775471;-16.97601426;18.74502928;
45;sf;280.7289188;96.02897051;18.50549104;-2.788375589;18.63513613;16.16037268;10.78100661;-1.157922362;17.78860851;17.03428119;-5.122584674;15.54569191;-15.59307954;2.019859187;15.51139837;17.37684381;
46;sf;101.8434728;530.992142;21.14668533;0.730885469;24.93070823;19.27941269;10.11619192;-0.698017878;21.55395121;19.32849592;-0.502282937;18.97398253;-17.58579928;3.579273203;18.56346371;20.24395121;
47;sf;51.87125279;431.097187;18.10303143;-1.868584967;17.7533684;16.06354688;10.98516623;0.08560058;17.30092199;16.63280282;2.778563279;15.08625364;15.12680358;5.307214227;15.37709128;16.8126867;
48;sf;476.0679406;680.1434797;22.45602131;1.976166005;23.83134006;19.72075058;13.56340959;0.755936783;23.57317089;20.11713948;0.930716067;19.54841037;20.46500355;2.304105909;19.92025282;21.22252153;
49;res;873.1202444;164.2091841;23.59671005;0.503868656;36.03585433;8.460193297;22.96479479;-0.492025918;32.47402878;9.410182816;0.207777877;30.09482509;-8.550634823;3.462163311;12.09235654;12.21998937;
50;hex;237.1529702;497.5083896;25.16611706;-1.984478111;31.69656374;11.96882816;20.52615653;-1.139190062;30.57005676;12.35738989;-8.662529507;27.40725858;-11.87435233;17.94718349;-14.41770603;16.51236436;
51;res;565.5860269;707.7443355;28.96955007;-1.748091307;34.43979599;7.511466078;30.16972841;-1.379725509;37.01511915;7.79503776;4.303094967;31.91425494;-7.505909601;-0.768112015;-8.628190303;10.12243086;
52;hex;1122.411659;129.8844613;33.39499703;1.710209264;43.31773086;10.82052854;30.19537925;1.42733261;42.54219251;11.46841432;-4.301039811;-38.26935899;-10.74535068;-0.897597892;12.98402059;14.97401124;
53;hex;1032.407698;632.5939992;27.37485085;-0.253198005;35.56034407;10.68021404;27.12326666;0.231184955;36.9335978;11.28072787;0.07823722;30.80259909;10.69521172;5.515240464;-13.05673012;15.32248694;
54;hex;592.0838294;218.9152778;28.51735996;-0.359761281;37.74671079;11.42327722;28.87061541;0.350278689;38.23862746;11.88621879;-0.044132326;33.51941783;11.38707714;-1.092301424;12.70101508;16.54754891;
55;hex;531.7969803;108.748362;27.68302797;0.107517306;34.22315259;9.000690943;29.61801699;-0.117345056;35.29569261;9.6216306;-0.163065716;32.42339616;-9.080086006;-3.141592632;12.85010951;12.82240775;
56;hex;950.0868914;480.7902432;31.35568301;-0.444887798;39.83052449;14.54308564;24.19101319;0.444022241;38.49561051;14.97896752;-0.075420069;34.00499609;14.15873464;-0.058064116;18.71892042;20.48796817;
57;hex;1024.72612;360.7859417;27.64194608;2.143651615;36.33688677;13.49580614;23.2882913;1.004898815;35.18408117;14.16502346;2.55011554;31.72538781;13.30520728;4.26467382;16.14218855;18.26745093;
58;res;1077.955708;374.4111438;34.26712274;1.631885504;41.77192861;10.8232512;26.462604;4.647544172;39.72180737;11.10653474;-4.356370256;36.70755325;10.57422547;-0.465722531;12.67067051;14.80113531;
59;sf;519.4367673;19.14835564;21.46848656;-1.045906432;21.67920286;19.15123164;12.64134658;0.098271992;20.7509357;19.91876387;-3.492766542;18.73397227;-17.77093434;-9.927350406;18.1611968;20.45701039;
60;res;139.9383751;450.5724424;35.76002935;0.48538332;35.96825826;10.09915488;31.45831468;-13.08369787;36.93722996;10.41949974;0.197092617;34.05523196;-10.09915476;-1.186111512;14.59702762;14.79179645;
61;sf;36.77990868;580.8996508;19.59880186;-1.690542858;20.47210411;17.21275565;10.90004744;-0.900439884;19.7397337;17.68382209;-2.958383819;17.7052476;-15.95733454;16.70389912;16.77511751;18.53361044;
62;hex;399.6562097;481.0916458;31.64363194;-8.566577697;36.43041609;9.615507413;25.90936307;-0.870569989;37.32585632;10.01809357;3.705978037;9.487893387;32.57384381;3.718619883;12.64300296;13.26525029;
63;res;445.9000845;475.6314303;33.35529446;-3.721308107;32.56717149;7.275556298;32.17703147;-8.855981196;37.62869364;7.490301971;-0.357733797;32.2353538;7.275556174;6.154957041;9.577812032;10.5096459;
64;hex;1058.432476;773.9308117;32.62315158;1.628639606;38.658995;11.81192118;26.73855988;1.505405427;38.88198371;12.02387684;2.018962346;33.02637495;11.58470208;-8.078381112;16.01018397;16.38703394;
65;res;791.5922046;489.6465813;26.50680324;0.258953045;25.30795897;7.70185172;25.7214605;-0.253273654;28.21921522;8.008684806;0.032014662;25.77686118;-7.743398532;-6.283185292;10.73261343;10.99572422;
66;res;916.5177466;98.00229336;37.25083665;-2.869095316;36.75191643;-6.837046519;35.9009127;15.40691718;-39.78237951;-6.953199074;0.084596929;35.9598449;-6.836122803;-1.570796312;9.250732056;9.607149239;
67;res;864.0522876;135.9477124;25.31643224;7.449089823;4.63434639;-24.78907703;4.634342481;8.260990748;4.746745028;29.14049076;-0.220946669;24.90937309;4.634344635;-8.623351216;6.256133593;238.2878487;0
